date,district,crime_type,count,latitude,longitude
2022-01-01,Mumbai,Theft,20,34.05081735698829,-118.24604153374725
2022-01-01,Mumbai,Assault,7,34.049858630430506,-118.24833417692813
2022-01-01,Mumbai,Vandalism,9,34.0475427024643,-118.26094917832512
2022-01-01,Mumbai,Burglary,6,34.04657712470759,-118.21810511968962
2022-01-02,Mumbai,Theft,8,34.04619746149894,-118.23422560178952
2022-01-02,Mumbai,Assault,5,34.04990549546168,-118.23980651086744
2022-01-02,Mumbai,Vandalism,12,34.07998313041552,-118.23176360275718
2022-01-02,Mumbai,Burglary,8,34.05104351717612,-118.2467110369559
2022-01-03,Mumbai,Theft,15,34.04500155791605,-118.24026381710432
2022-01-03,Mumbai,Assault,5,34.034569598446375,-118.23339000477505
2022-01-03,Mumbai,Vandalism,6,34.061512801191164,-118.2454773212127
2022-01-03,Mumbai,Burglary,5,34.04809616691313,-118.23397036466244
2022-01-04,Mumbai,Theft,16,34.085922962536266,-118.25290390805068
2022-01-04,Mumbai,Assault,3,34.03801249541409,-118.2332750838266
2022-01-04,Mumbai,Vandalism,8,34.06135402117702,-118.2404124889034
2022-01-04,Mumbai,Burglary,7,34.048278918468675,-118.25833514948133
2022-01-05,Mumbai,Theft,13,34.0548105527218,-118.24712714516528
2022-01-05,Mumbai,Assault,10,34.044177227307785,-118.24267652317452
2022-01-05,Mumbai,Vandalism,6,34.04787390719452,-118.23227177185484
2022-01-05,Mumbai,Burglary,6,34.059719330326864,-118.24863432482204
2022-01-06,Mumbai,Theft,11,34.069266049536786,-118.23496410584364
2022-01-06,Mumbai,Assault,4,34.04300575765766,-118.22820065594983
2022-01-06,Mumbai,Vandalism,11,34.054798827942484,-118.23588177128224
2022-01-06,Mumbai,Burglary,7,34.05513072473298,-118.25084351418026
2022-01-07,Mumbai,Theft,19,34.05693832920912,-118.25344681670228
2022-01-07,Mumbai,Assault,9,34.060070846037426,-118.24447101709414
2022-01-07,Mumbai,Vandalism,15,34.05561151974817,-118.24356998108122
